notifyd-soak-oracle begin
[slope t=57m] port: alloc=31562 destroy=31562 delta=0 | dn: req=0 fire=0 | msg: s=174675 r=177078
[slope t=58m] port: alloc=32102 destroy=32102 delta=0 | dn: req=0 fire=0 | msg: s=177624 r=180067
[slope t=59m] port: alloc=32642 destroy=32642 delta=0 | dn: req=0 fire=0 | msg: s=180591 r=183083
[slope t=60m] port: alloc=33182 destroy=33182 delta=0 | dn: req=0 fire=0 | msg: s=183542 r=186072
[slope t=61m] port: alloc=33732 destroy=33732 delta=0 | dn: req=0 fire=0 | msg: s=186564 r=189133
[slope t=62m] port: alloc=34272 destroy=34272 delta=0 | dn: req=0 fire=0 | msg: s=189529 r=192134
[slope t=63m] port: alloc=34822 destroy=34822 delta=0 | dn: req=0 fire=0 | msg: s=192541 r=195191
[slope t=64m] port: alloc=35004 destroy=35002 delta=2 | dn: req=0 fire=0 | msg: s=193530 r=196197
[slope t=65m] port: alloc=35004 destroy=35002 delta=2 | dn: req=0 fire=0 | msg: s=193530 r=196197
[slope t=66m] port: alloc=35004 destroy=35002 delta=2 | dn: req=0 fire=0 | msg: s=193530 r=196197
[slope t=67m] port: alloc=35004 destroy=35002 delta=2 | dn: req=0 fire=0 | msg: s=193530 r=196197
[slope t=68m] port: alloc=35004 destroy=35002 delta=2 | dn: req=0 fire=0 | msg: s=193530 r=196197
[slope t=69m] port: alloc=35004 destroy=35002 delta=2 | dn: req=0 fire=0 | msg: s=193530 r=196197
[slope t=70m] port: alloc=35004 destroy=35002 delta=2 | dn: req=0 fire=0 | msg: s=193530 r=196197
[slope t=71m] port: alloc=35004 destroy=35002 delta=2 | dn: req=0 fire=0 | msg: s=193530 r=196197
[slope t=72m] port: alloc=35004 destroy=35002 delta=2 | dn: req=0 fire=0 | msg: s=193530 r=196197
[slope t=73m] port: alloc=35004 destroy=35002 delta=2 | dn: req=0 fire=0 | msg: s=193530 r=196197
[slope t=74m] port: alloc=35004 destroy=35002 delta=2 | dn: req=0 fire=0 | msg: s=193530 r=196197
[slope t=75m] port: alloc=35004 destroy=35002 delta=2 | dn: req=0 fire=0 | msg: s=193530 r=196197
[slope t=76m] port: alloc=35004 destroy=35002 delta=2 | dn: req=0 fire=0 | msg: s=193530 r=196197
[slope t=77m] port: alloc=35004 destroy=35002 delta=2 | dn: req=0 fire=0 | msg: s=193530 r=196197
[slope t=78m] port: alloc=35004 destroy=35002 delta=2 | dn: req=0 fire=0 | msg: s=193530 r=196197
[slope t=79m] port: alloc=35004 destroy=35002 delta=2 | dn: req=0 fire=0 | msg: s=193530 r=196197
[slope t=80m] port: alloc=35004 destroy=35002 delta=2 | dn: req=0 fire=0 | msg: s=193530 r=196197
[slope t=81m] port: alloc=35004 destroy=35002 delta=2 | dn: req=0 fire=0 | msg: s=193530 r=196197
[slope t=82m] port: alloc=35004 destroy=35002 delta=2 | dn: req=0 fire=0 | msg: s=193530 r=196197
[slope t=83m] port: alloc=35004 destroy=35002 delta=2 | dn: req=0 fire=0 | msg: s=193530 r=196197
[slope t=84m] port: alloc=35004 destroy=35002 delta=2 | dn: req=0 fire=0 | msg: s=193530 r=196197
[slope t=85m] port: alloc=35004 destroy=35002 delta=2 | dn: req=0 fire=0 | msg: s=193530 r=196197
[slope t=86m] port: alloc=35004 destroy=35002 delta=2 | dn: req=0 fire=0 | msg: s=193530 r=196197
[slope t=87m] port: alloc=35004 destroy=35002 delta=2 | dn: req=0 fire=0 | msg: s=193530 r=196197
[slope t=88m] port: alloc=35004 destroy=35002 delta=2 | dn: req=0 fire=0 | msg: s=193530 r=196197
[slope t=89m] port: alloc=35004 destroy=35002 delta=2 | dn: req=0 fire=0 | msg: s=193530 r=196197
[slope t=90m] port: alloc=35004 destroy=35002 delta=2 | dn: req=0 fire=0 | msg: s=193530 r=196197
[slope t=91m] port: alloc=35004 destroy=35002 delta=2 | dn: req=0 fire=0 | msg: s=193530 r=196197
[slope t=92m] port: alloc=35004 destroy=35002 delta=2 | dn: req=0 fire=0 | msg: s=193530 r=196197
[slope t=93m] port: alloc=35004 destroy=35002 delta=2 | dn: req=0 fire=0 | msg: s=193530 r=196197
[slope t=94m] port: alloc=35004 destroy=35002 delta=2 | dn: req=0 fire=0 | msg: s=193530 r=196197
[slope t=95m] port: alloc=35004 destroy=35002 delta=2 | dn: req=0 fire=0 | msg: s=193530 r=196197
[slope t=96m] port: alloc=35004 destroy=35002 delta=2 | dn: req=0 fire=0 | msg: s=193530 r=196197
[slope t=97m] port: alloc=35004 destroy=35002 delta=2 | dn: req=0 fire=0 | msg: s=193530 r=196197
[slope t=98m] port: alloc=35004 destroy=35002 delta=2 | dn: req=0 fire=0 | msg: s=193530 r=196197
[slope t=99m] port: alloc=35004 destroy=35002 delta=2 | dn: req=0 fire=0 | msg: s=193530 r=196197
[slope t=100m] port: alloc=35004 destroy=35002 delta=2 | dn: req=0 fire=0 | msg: s=193530 r=196197
[slope t=101m] port: alloc=35004 destroy=35002 delta=2 | dn: req=0 fire=0 | msg: s=193530 r=196197
[slope t=102m] port: alloc=35004 destroy=35002 delta=2 | dn: req=0 fire=0 | msg: s=193530 r=196197
[slope t=103m] port: alloc=35004 destroy=35002 delta=2 | dn: req=0 fire=0 | msg: s=193530 r=196197
[slope t=104m] port: alloc=35004 destroy=35002 delta=2 | dn: req=0 fire=0 | msg: s=193530 r=196197
[slope t=105m] port: alloc=35004 destroy=35002 delta=2 | dn: req=0 fire=0 | msg: s=193530 r=196197
[slope t=106m] port: alloc=35004 destroy=35002 delta=2 | dn: req=0 fire=0 | msg: s=193530 r=196197
[slope t=107m] port: alloc=35004 destroy=35002 delta=2 | dn: req=0 fire=0 | msg: s=193530 r=196197
[slope t=108m] port: alloc=35004 destroy=35002 delta=2 | dn: req=0 fire=0 | msg: s=193530 r=196197
[slope t=109m] port: alloc=35004 destroy=35002 delta=2 | dn: req=0 fire=0 | msg: s=193530 r=196197
[slope t=110m] port: alloc=35004 destroy=35002 delta=2 | dn: req=0 fire=0 | msg: s=193530 r=196197
[slope t=111m] port: alloc=35004 destroy=35002 delta=2 | dn: req=0 fire=0 | msg: s=193530 r=196197
[slope t=112m] port: alloc=35004 destroy=35002 delta=2 | dn: req=0 fire=0 | msg: s=193530 r=196197
